Company,body-style,wheel-base,length,horsepower,average-mileage,price
alfa-romero,convertible,88.6,168.8,111,21,13495
alfa-romero,convertible,88.6,168.8,111,21,16500
alfa-romero,hatchback,94.5,171.2,154,19,16500
audi,Sedan,99.8,176.6,102,24,13950
audi,Sedan,99.4,176.6,115,18,17450
audi,sedan,99.8,177.3,110,19,15250
audi,wagon,105.8,192.7,110,19,18920
bmw,sedan,101.2,176.8,101,23,16430
bmw,sedan,101.2,176.8,101,23,16925
bmw,sedan,101.2,176.8,121,21,20970
bmw,sedan,103.5,189,182,16,30760
bmw,sedan,103.5,193.8,182,16,41315
bmw,sedan,110,197,182,15,36880
chevrolet,hatchback,88.4,141.1,48,47,5151
chevrolet,hatchback,94.5,155.9,70,38,6295
chevrolet,sedan,94.5,158.8,70,38,6575
dodge,hatchback,93.7,157.3,68,31,6377
dodge,hatchback,93.7,157.3,68,31,6229
honda,wagon,96.5,157.1,76,30,7295
honda,sedan,96.5,175.4,101,24,12945
honda,sedan,96.5,169.1,100,25,10345
isuzu,sedan,94.3,170.7,78,24,6785
jaguar,sedan,113,199.6,176,15,32250
jaguar,sedan,113,199.6,176,15,35550
jaguar,sedan,102,191.7,262,13,36000
mazda,hatchback,93.1,159.1,68,30,5195
mazda,hatchback,93.1,159.1,68,31,6095
mazda,hatchback,93.1,159.1,68,31,6795
mazda,hatchback,95.3,169,101,17,11845
mazda,sedan,104.9,175,72,31,18344
mercedes-benz,wagon,110,190.9,123,22,28248
mercedes-benz,sedan,120.9,208.1,184,14,40960
mercedes-benz,hardtop,112,199.2,184,14,45400
mitsubishi,hatchback,93.7,157.3,68,37,5389
mitsubishi,hatchback,93.7,157.3,68,31,6189
mitsubishi,sedan,96.3,172.4,88,25,6989
mitsubishi,sedan,96.3,172.4,88,25,8189
nissan,sedan,94.5,165.3,55,45,7099
nissan,wagon,94.5,170.2,69,31,7349
nissan,sedan,100.4,184.6,152,19,13499
porsche,hardtop,89.5,168.9,207,17,34028
porsche,convertible,89.5,168.9,207,17,37028
