Company,body-style,wheel-base,length,horsepower,average-mileage,price,capacity
alfa-romero,convertible,88.6,168.8,111,21,13495,5.285714285714286
alfa-romero,convertible,88.6,168.8,111,21,16500,5.285714285714286
alfa-romero,hatchback,94.5,171.2,154,19,16500,8.105263157894736
audi,Sedan,99.8,176.6,102,24,13950,4.25
audi,Sedan,99.4,176.6,115,18,17450,6.388888888888889
audi,sedan,99.8,177.3,110,19,15250,5.7894736842105265
audi,wagon,105.8,192.7,110,19,18920,5.7894736842105265
bmw,sedan,101.2,176.8,101,23,16430,4.391304347826087
bmw,sedan,101.2,176.8,101,23,16925,4.391304347826087
bmw,sedan,101.2,176.8,121,21,20970,5.761904761904762
bmw,sedan,103.5,189.0,182,16,30760,11.375
bmw,sedan,103.5,193.8,182,16,41315,11.375
bmw,sedan,110.0,197.0,182,15,36880,12.133333333333333
chevrolet,hatchback,88.4,141.1,48,47,5151,1.0212765957446808
chevrolet,hatchback,94.5,155.9,70,38,6295,1.8421052631578947
chevrolet,sedan,94.5,158.8,70,38,6575,1.8421052631578947
dodge,hatchback,93.7,157.3,68,31,6377,2.193548387096774
dodge,hatchback,93.7,157.3,68,31,6229,2.193548387096774
honda,wagon,96.5,157.1,76,30,7295,2.533333333333333
honda,sedan,96.5,175.4,101,24,12945,4.208333333333333
honda,sedan,96.5,169.1,100,25,10345,4.0
isuzu,sedan,94.3,170.7,78,24,6785,3.25
jaguar,sedan,113.0,199.6,176,15,32250,11.733333333333333
jaguar,sedan,113.0,199.6,176,15,35550,11.733333333333333
jaguar,sedan,102.0,191.7,262,13,36000,20.153846153846153
mazda,hatchback,93.1,159.1,68,30,5195,2.2666666666666666
mazda,hatchback,93.1,159.1,68,31,6095,2.193548387096774
mazda,hatchback,93.1,159.1,68,31,6795,2.193548387096774
mazda,hatchback,95.3,169.0,101,17,11845,5.9411764705882355
mazda,sedan,104.9,175.0,72,31,18344,2.3225806451612905
mercedes-benz,wagon,110.0,190.9,123,22,28248,5.590909090909091
mercedes-benz,sedan,120.9,208.1,184,14,40960,13.142857142857142
mercedes-benz,hardtop,112.0,199.2,184,14,45400,13.142857142857142
mitsubishi,hatchback,93.7,157.3,68,37,5389,1.837837837837838
mitsubishi,hatchback,93.7,157.3,68,31,6189,2.193548387096774
mitsubishi,sedan,96.3,172.4,88,25,6989,3.52
mitsubishi,sedan,96.3,172.4,88,25,8189,3.52
nissan,sedan,94.5,165.3,55,45,7099,1.2222222222222223
nissan,wagon,94.5,170.2,69,31,7349,2.225806451612903
nissan,sedan,100.4,184.6,152,19,13499,8.0
porsche,hardtop,89.5,168.9,207,17,34028,12.176470588235293
porsche,convertible,89.5,168.9,207,17,37028,12.176470588235293
